Air District Name,Regulation,Rules,RuleType,Stringency,OriginalAdoptionDate,CurrentActionType,CurrentActionDate,Effective Date,SourceType,Applicability,Pollutants,Regulatory Text,Regulatory Text Underline Strikeout,Staff Report,Board Package
Amador APCD,1: Definitions,101: Title,General,n/a,6/15/1975 0:00:00,Amend,8/6/1985 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID2.html,,,
Amador APCD,1: Definitions,102: Definitions,General,n/a,6/15/1975 0:00:00,Amend,4/28/2009 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID3.pdf,,,
Amador APCD,1: Definitions,103: Enforcement,General,n/a,6/15/1975 0:00:00,Amend,3/27/1979 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID4.html,,,
Amador APCD,1: Definitions,105: Civil Action,General,n/a,4/20/1999 0:00:00,Adopt,4/20/1999 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID5.html,,,
Amador APCD,1: Definitions,106: Validity,General,n/a,6/15/1975 0:00:00,Amend,4/20/1999 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID1.html,,,
Amador APCD,1: Definitions,107: Effective Date,General,n/a,4/20/1999 0:00:00,Adopt,4/20/1999 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID6.html,,,
Amador APCD,2: Prohibitions,201: District-wide Coverage,General,n/a,6/15/1975 0:00:00,Adopt,6/15/1975 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID7.html,,,
Amador APCD,2: Prohibitions,202: Visible Emissions,Prohibitory,Unknown,6/15/1975 0:00:00,Adopt,6/15/1975 0:00:00,11/11/1900,General,All,Visible Emissions,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID8.html,,,
Amador APCD,2: Prohibitions,203: Exceptions,General,n/a,4/11/1977 0:00:00,Amend,4/28/2009 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID9.pdf,,,
Amador APCD,2: Prohibitions,204: Wet Plumes,General,n/a,6/15/1975 0:00:00,Amend,6/15/1975 0:00:00,11/11/1900,General,All,,https://ww2.arb.ca.gov/sites/default/files/classic/technology-clearinghouse/rules/RuleID10.html,,,
